City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
78,Villa Rica,33.7321,-84.9191,45.34,70,27,4.7,US,2022-02-07 02:52:12,scattered clouds
79,Saguing,6.9803,125.0781,81.79,55,54,1.57,PH,2022-02-07 02:52:12,broken clouds
80,Vila Franca Do Campo,37.7167,-25.4333,60.19,81,27,12.46,PT,2022-02-07 02:51:41,scattered clouds
81,Poum,-20.2333,164.0167,81.54,86,100,25.52,NC,2022-02-07 02:52:13,overcast clouds
82,Jamestown,42.097,-79.2353,29.79,45,0,10.36,US,2022-02-07 02:44:48,clear sky
83,Acapulco,16.8634,-99.8901,80.42,74,0,9.22,MX,2022-02-07 02:44:39,clear sky
84,Karasburg,-28.0167,18.75,74.28,51,100,7.72,NA,2022-02-07 02:52:14,overcast clouds
85,Monte Alegre De Minas,-18.8706,-48.8808,70.45,93,100,5.46,BR,2022-02-07 02:52:14,light rain
86,Santiago,-33.4569,-70.6483,75.29,42,0,13.8,CL,2022-02-07 02:47:16,clear sky
87,Port Elizabeth,-33.918,25.5701,64.69,94,0,3.44,ZA,2022-02-07 02:52:15,clear sky
88,Mufulira,-12.5498,28.2407,62.67,99,100,3.6,ZM,2022-02-07 02:53:16,light rain
89,Berbera,10.4396,45.0143,76.15,80,83,3.36,SO,2022-02-07 02:53:16,light rain
90,Palamos,41.8484,3.1291,47.68,53,53,4.0,ES,2022-02-07 02:53:16,broken clouds
91,Gat,31.61,34.7642,54.39,100,6,6.8,IL,2022-02-07 02:53:17,clear sky
92,Cabo San Lucas,22.8909,-109.9124,65.5,68,0,4.21,MX,2022-02-07 02:49:47,clear sky
93,Touros,-5.1989,-35.4608,79.7,76,19,8.86,BR,2022-02-07 02:52:32,few clouds
94,Sibolga,1.7427,98.7792,84.6,63,75,1.54,ID,2022-02-07 02:53:18,broken clouds
95,Bubaque,11.2833,-15.8333,76.44,70,6,7.78,GW,2022-02-07 02:53:18,clear sky
96,Mehriz,31.5917,54.4318,32.5,33,0,1.97,IR,2022-02-07 02:53:19,clear sky
