City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
310,Clarence Town,AU,76.98,broken clouds,-32.5833,151.7833,River Downs Cottage
312,Geraldton,AU,77.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
314,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
316,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
322,Porto Seguro,BR,77.52,few clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
323,New Norfolk,AU,77.88,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
326,Homa Bay,KE,67.75,broken clouds,-0.5273,34.4571,ACK Guest House - Homa Bay
327,Banda Aceh,ID,77.9,overcast clouds,5.5577,95.3222,Sulthan Hotel International
329,Tuni,IN,72.61,overcast clouds,17.35,82.55,Sai Krishna Lodge
330,Eyl,SO,72.73,overcast clouds,7.9803,49.8164,Amiin Hotel
332,Nelson Bay,AU,77.11,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
333,Parrita,CR,77.52,clear sky,9.5201,-84.3225,Beso del Viento
334,Richards Bay,ZA,71.53,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
336,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
339,Te Anau,NZ,70.7,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
340,Byron Bay,AU,78.75,broken clouds,-28.65,153.6167,Backpackers Inn
341,Porto Velho,BR,73.45,moderate rain,-8.7619,-63.9039,Hotel Central
350,Isangel,VU,79.25,moderate rain,-19.55,169.2667,Tanna Lodge
351,Meulaboh,ID,78.46,overcast clouds,4.1363,96.1285,Kost Pria
353,Baculin,PH,80.51,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
355,Cabedelo,BR,78.78,clear sky,-6.9811,-34.8339,Hotel Pigalle
356,Imbituba,BR,71.62,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
359,Cabinda,AO,76.01,overcast clouds,-5.55,12.2,Hotel Maiombe
360,Tunga,PH,83.35,overcast clouds,11.2456,124.7517,NAYS FARM
362,Luanda,AO,73.31,overcast clouds,-8.8368,13.2343,Hotel Fórum
366,Bolgatanga,GH,72.32,clear sky,10.7856,-0.8514,Mama's Place
372,Bandarbeyla,SO,74.34,overcast clouds,9.4942,50.8122,JABIR HOTEL
375,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
377,Sorong,ID,83.64,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
378,Plettenberg Bay,ZA,69.51,clear sky,-34.0527,23.3716,Thanda Vista B&B
383,Kahului,US,74.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
385,Puerto Colombia,CO,78.58,clear sky,10.9878,-74.9547,Hotel El Emigrante
386,Nishihara,JP,65.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
389,Kinango,KE,73.47,overcast clouds,-4.1372,39.3153,Legacy Hotel
395,Road Town,VG,75.99,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
396,Jawhar,SO,71.01,overcast clouds,2.7809,45.5005,hantiwadaag village part one
401,La Plaine,DM,76.91,overcast clouds,15.3333,-61.25,Citrus Creek Plantation
403,Thayetmyo,MM,74.53,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
404,Sola,VU,82.92,light rain,-13.8833,167.55,Leumerus Bungalows
408,Busselton,AU,68.09,broken clouds,-33.65,115.3333,Observatory Guest House
410,Kavieng,PG,83.66,broken clouds,-2.5744,150.7967,Nusa Island Retreat
411,Bathsheba,BB,77.58,broken clouds,13.2167,-59.5167,Atlantis Hotel
414,Ocara,BR,72.63,broken clouds,-4.4908,-38.5967,Pousada familiar
415,Yeppoon,AU,83.98,clear sky,-23.1333,150.7333,Villa Mar Colina
416,Port Alfred,ZA,72.93,broken clouds,-33.5906,26.891,The Halyards Hotel
422,Alto Araguaia,BR,70.16,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
427,Linhares,BR,72.9,clear sky,-19.3911,-40.0722,Hotel Conceição
428,Mana,GF,77.7,overcast clouds,5.6592,-53.7767,LE SAMANA
431,Soubre,CI,72.3,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
433,Manicore,BR,73.38,moderate rain,-5.8092,-61.3003,Hotel Durval
441,Sibu,MY,73.96,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
443,Altamira,BR,72.93,overcast clouds,-3.2033,-52.2064,Requinte Hotel
449,La Palma,US,73.35,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
450,Hermanus,ZA,66.79,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
454,Kruisfontein,ZA,69.69,clear sky,-34.0033,24.7314,Oyster Bay House Rental
458,Hualmay,PE,70.59,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
459,Ubon Ratchathani,TH,81.1,overcast clouds,15.1667,105.1667,บ้านอินทร์โชติ
461,Fare,PF,81.0,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
462,Betare Oya,CM,66.06,scattered clouds,5.6,14.0833,Auberge Tembina Betaré Oya
463,Jati,PK,66.69,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
464,Dingle,PH,83.75,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
465,Pamanukan,ID,81.72,moderate rain,-6.2842,107.8106,Paris Day Hotel Pamanukan
466,Port Hedland,AU,82.45,light rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
467,Saint-Pierre,RE,78.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
472,Christchurch,NZ,69.03,broken clouds,-43.5333,172.6333,The George
474,Ciudad Ojeda,VE,78.3,scattered clouds,10.1964,-71.3082,Hotel América
476,Vaini,TO,76.89,moderate rain,-21.2,-175.2,Keleti Beach Resort
480,Mananjary,MG,75.99,overcast clouds,-21.2167,48.3333,Vahiny Lodge
482,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,Bushido Lodge
484,Sinnamary,GF,76.87,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
491,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
494,San Cristobal,VE,69.98,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
495,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
496,Quelimane,MZ,72.54,light rain,-17.8786,36.8883,Hotel Flamingo
497,Tocopilla,CL,69.28,clear sky,-22.092,-70.1979,Hotel Galvarino
498,Maragogi,BR,79.21,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
503,Nampula,MZ,67.66,scattered clouds,-15.1165,39.2666,BUTIK Hotel
504,La Paz Centro,NI,79.84,scattered clouds,12.34,-86.6753,Quinta Momotombo
511,Puerto Leguizamo,CO,73.2,overcast clouds,-0.1934,-74.7819,la casona de juancho
512,Wonthaggi,AU,84.2,clear sky,-38.6044,145.5913,Wonthaggi Caravans & Trailers
517,Alofi,NU,82.29,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
518,Kavaratti,IN,77.65,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
520,Ternate,ID,82.74,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
526,Nanakuli,US,80.55,few clouds,21.3906,-158.1547,Camp Pālehua
528,Sigli,ID,78.17,overcast clouds,5.3848,95.9609,Losmen Dua Mali
533,Payo,ID,82.36,overcast clouds,-3.7508,103.6372,Mess keban agung
536,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
538,Kapit,MY,75.87,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
539,Hobyo,SO,75.52,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
544,Lethem,GY,77.29,heavy intensity rain,3.3803,-59.7968,Savannah Inn
545,Hithadhoo,MV,82.42,scattered clouds,-0.6,73.0833,Scoop Guest House
546,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
547,Porteirinha,BR,67.5,overcast clouds,-15.7433,-43.0283,Portal Palace Hotel
549,Saint-Philippe,RE,78.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
551,Souillac,MU,78.37,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
561,Salinopolis,BR,77.67,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
562,Caravelas,BR,76.24,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
564,Butaritari,KI,81.84,moderate rain,3.0707,172.7902,Isles Sunset Lodge
567,Ixtapa,MX,72.63,broken clouds,20.7,-105.2,Hotel Plaza Providencia
570,Alta Floresta,BR,72.01,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
571,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
574,Cozumel,MX,73.94,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
