City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Salaga,GH,2022-02-05 03:25:22,8.5508,-0.5188,75.99,15,1,4.27
108,Sao Joao Da Barra,BR,2022-02-05 03:25:22,-21.6403,-41.0511,76.01,85,99,20.96
109,Shache,CN,2022-02-05 03:25:23,38.4167,77.2406,25.92,42,99,3.09
110,Yarada,IN,2022-02-05 03:25:23,17.65,83.2667,75.52,83,20,8.05
111,Umm Lajj,SA,2022-02-05 03:25:24,25.0213,37.2685,60.4,50,15,6.69
112,Albany,US,2022-02-05 03:22:06,42.6001,-73.9662,17.47,84,100,4.59
113,Iberia,US,2022-02-05 03:25:25,29.9502,-91.7507,37.47,70,100,14.97
114,Hamilton,US,2022-02-05 03:25:25,39.1834,-84.5333,18.45,80,40,4.61
115,Fort Morgan,US,2022-02-05 03:25:26,40.2503,-103.8,27.82,73,0,11.5
116,Yellowknife,CA,2022-02-05 03:21:02,62.456,-114.3525,-26.45,76,100,8.05
117,Yar-Sale,RU,2022-02-05 03:23:41,66.8333,70.8333,-1.53,100,90,5.66
118,Porto Belo,BR,2022-02-05 03:25:27,-27.1578,-48.5531,78.78,91,98,7.0
119,Ahipara,NZ,2022-02-05 03:22:44,-35.1667,173.1667,71.1,96,91,14.23
120,Vostok,RU,2022-02-05 03:21:12,46.4856,135.8833,-0.06,85,100,5.57
121,San Cristobal,VE,2022-02-05 03:25:28,7.7669,-72.225,71.78,91,51,2.3
122,Puerto Suarez,BO,2022-02-05 03:25:28,-18.95,-57.8,78.37,76,4,4.07
123,Mana,GF,2022-02-05 03:25:29,5.6592,-53.7767,76.48,87,100,7.87
124,Kanniyakumari,IN,2022-02-05 03:25:29,8.0833,77.5667,78.57,77,22,2.66
125,Liptovsky Hradok,SK,2022-02-05 03:25:30,49.0396,19.7234,38.03,99,100,4.0
126,Hithadhoo,MV,2022-02-05 03:24:41,-0.6,73.0833,81.79,73,99,11.63
127,Havelock,US,2022-02-05 03:25:31,34.8791,-76.9013,66.16,93,100,4.0
128,Grindavik,IS,2022-02-05 03:25:31,63.8424,-22.4338,28.35,63,100,23.02
129,Omboue,GA,2022-02-05 03:25:31,-1.5746,9.2618,76.53,85,92,5.48
130,Zhigansk,RU,2022-02-05 03:25:32,66.7697,123.3711,-27.02,98,99,4.99
131,Saint-Joseph,RE,2022-02-05 03:25:33,-21.3667,55.6167,80.98,84,100,21.59
132,Tabas,IR,2022-02-05 03:25:33,33.5959,56.9244,54.27,50,77,7.65
133,San Carlos,VE,2022-02-05 03:25:34,9.6612,-68.5827,74.1,71,29,4.38
134,Arraial Do Cabo,BR,2022-02-05 03:25:35,-22.9661,-42.0278,75.81,87,100,22.39
135,Constitucion,CL,2022-02-05 03:25:24,-35.3333,-72.4167,58.15,88,2,11.81
136,Riverton,US,2022-02-05 03:25:35,40.5219,-111.9391,30.83,68,0,1.99
137,Maniitsoq,GL,2022-02-05 03:26:36,65.4167,-52.9,7.75,86,100,13.87
138,Ponta Do Sol,PT,2022-02-05 03:25:28,32.6667,-17.1,65.71,67,89,4.05
139,Qaanaaq,GL,2022-02-05 03:24:52,77.484,-69.3632,1.63,70,100,6.31
140,Kahului,US,2022-02-05 03:23:55,20.8947,-156.47,79.86,79,40,12.66
141,Kurilsk,RU,2022-02-05 03:26:37,45.2333,147.8833,24.31,74,100,13.62
142,Ahuimanu,US,2022-02-05 03:26:38,21.4447,-157.8378,80.31,66,100,1.99
143,Jucas,BR,2022-02-05 03:26:38,-6.5253,-39.5275,76.21,65,80,2.01
144,Gamboma,CG,2022-02-05 03:26:39,-1.8764,15.8644,73.74,79,100,0.34
145,Onega,RU,2022-02-05 03:26:40,63.9061,38.1404,3.96,94,100,10.38
146,Comodoro Rivadavia,AR,2022-02-05 03:26:40,-45.8667,-67.5,49.86,87,0,5.75
147,San Gavino Monreale,IT,2022-02-05 03:26:41,39.5514,8.7917,51.44,94,91,6.15
148,Serebryanyy Bor,RU,2022-02-05 03:26:41,56.8,124.8,-2.13,91,100,9.42
149,Staritsa,RU,2022-02-05 03:26:42,56.5075,34.9354,4.87,100,100,3.87
150,Fort Nelson,CA,2022-02-05 03:26:42,58.8053,-122.7002,-9.81,70,100,3.44
151,Adre,TD,2022-02-05 03:26:43,13.4667,22.2,57.63,25,36,20.27
152,Geraldton,AU,2022-02-05 03:26:43,-28.7667,114.6,108.01,8,0,12.66
153,Tefe,BR,2022-02-05 03:26:44,-3.3542,-64.7114,72.48,99,100,2.77
154,Gigmoto,PH,2022-02-05 03:26:44,13.7796,124.39,77.76,85,100,16.93
155,Mataura,NZ,2022-02-05 03:26:44,-46.1927,168.8643,59.49,37,7,4.9
156,Fairbanks,US,2022-02-05 03:26:45,64.8378,-147.7164,7.09,67,100,0.0
157,Provideniya,RU,2022-02-05 03:26:45,64.3833,-173.3,0.07,68,1,10.18
158,Nizwa,OM,2022-02-05 03:26:46,22.9333,57.5333,62.01,39,5,1.54
159,Paracuru,BR,2022-02-05 03:26:46,-3.41,-39.0306,82.42,81,88,9.26
160,Sena Madureira,BR,2022-02-05 03:26:47,-9.0656,-68.6569,71.98,99,54,2.37
161,Richards Bay,ZA,2022-02-05 03:26:47,-28.783,32.0377,71.51,93,100,15.86
162,Lira,UG,2022-02-05 03:26:48,2.235,32.9097,68.99,52,99,3.51
163,Gallup,US,2022-02-05 03:26:48,35.5281,-108.7426,21.96,55,0,1.01
164,Zhuanghe,CN,2022-02-05 03:26:49,39.7008,122.9911,21.69,34,0,14.79
165,Ulfborg,DK,2022-02-05 03:26:49,56.2673,8.3217,38.89,80,80,22.7
166,Azuaga,ES,2022-02-05 03:26:50,38.2667,-5.6833,46.96,89,99,4.97
167,Karratha,AU,2022-02-05 03:26:50,-20.7377,116.8463,93.38,52,49,19.1
168,Khvoynaya,RU,2022-02-05 03:26:51,58.9,34.5333,1.85,100,100,5.59
169,Upernavik,GL,2022-02-05 03:26:51,72.7868,-56.1549,4.06,95,100,14.52
170,Jaca,ES,2022-02-05 03:26:52,42.569,-0.5499,41.2,85,100,5.68
171,Georgetown,MY,2022-02-05 03:26:52,5.4112,100.3354,85.93,77,20,3.44
172,Saquarema,BR,2022-02-05 03:26:53,-22.92,-42.5103,74.59,93,100,9.95
173,Shimoda,JP,2022-02-05 03:26:54,34.6667,138.95,48.56,48,8,29.48
174,Aykhal,RU,2022-02-05 03:26:54,66.0,111.5,-22.13,100,90,5.17
175,Kushmurun,KZ,2022-02-05 03:26:55,52.4503,64.6311,17.08,78,100,7.67
176,Kralendijk,BQ,2022-02-05 03:26:55,12.15,-68.2667,76.98,78,12,9.22
177,Baijiantan,CN,2022-02-05 03:26:56,45.6333,85.1833,3.38,90,48,1.34
178,Puerto Quijarro,BO,2022-02-05 03:26:56,-17.7833,-57.7667,75.79,86,86,3.0
179,Novomichurinsk,RU,2022-02-05 03:26:57,54.0384,39.7479,8.62,94,26,10.29
180,New Norfolk,AU,2022-02-05 03:25:20,-42.7826,147.0587,69.89,50,98,1.99
181,Berlevag,NO,2022-02-05 03:26:58,70.8578,29.0864,20.62,80,100,27.49
182,Keelung,TW,2022-02-05 03:27:59,25.1283,121.7419,61.39,79,100,13.67
183,Hasaki,JP,2022-02-05 03:28:00,35.7333,140.8333,45.0,33,7,14.43
184,Valparaiso,CL,2022-02-05 03:28:00,-33.0393,-71.6273,67.48,81,0,3.44
185,Selma,US,2022-02-05 03:28:01,36.5708,-119.6121,56.98,43,0,4.83
186,Cabo San Lucas,MX,2022-02-05 03:28:01,22.8909,-109.9124,67.51,70,20,0.0
187,Mujiayingzi,CN,2022-02-05 03:28:01,42.1167,118.7833,17.83,38,0,16.71
188,Umm Kaddadah,SD,2022-02-05 03:25:10,13.6017,26.6876,56.79,27,1,18.84
189,Roald,NO,2022-02-05 03:28:02,62.5833,6.1333,39.0,65,40,29.93
190,Hamois,BE,2022-02-05 03:28:03,50.3348,5.1512,35.69,90,16,10.04
191,Gboko,NG,2022-02-05 03:28:03,7.3179,8.9951,71.56,18,5,9.62
192,Nantucket,US,2022-02-05 03:28:04,41.2835,-70.0995,37.15,94,100,22.1
193,Sinnamary,GF,2022-02-05 03:28:04,5.3833,-52.95,75.7,90,95,8.39
194,Nome,US,2022-02-05 03:28:05,64.5011,-165.4064,3.27,66,20,6.91
195,Muisne,EC,2022-02-05 03:28:05,0.6,-80.0333,76.78,82,88,3.78
196,Los Llanos De Aridane,ES,2022-02-05 03:28:06,28.6585,-17.9182,59.13,76,0,5.01
197,Sorland,NO,2022-02-05 03:28:06,67.667,12.6934,28.47,88,100,26.98
198,Nago,JP,2022-02-05 03:28:07,26.5881,127.9761,63.03,54,45,15.03
199,Boa Vista,BR,2022-02-05 03:25:08,2.8197,-60.6733,80.58,69,0,9.22
200,Kibre Mengist,ET,2022-02-05 03:28:08,5.8833,38.9833,51.85,33,12,2.98
201,Acapulco,MX,2022-02-05 03:27:21,16.8634,-99.8901,75.02,83,20,0.0
202,San Patricio,US,2022-02-05 03:28:09,28.017,-97.5169,41.83,72,6,13.98
203,Coihaique,CL,2022-02-05 03:23:56,-45.5752,-72.0662,57.15,72,0,3.44
204,Chokurdakh,RU,2022-02-05 03:23:51,70.6333,147.9167,-30.24,100,12,1.39
205,Stavern,NO,2022-02-05 03:28:09,59.0,10.0333,33.73,67,89,20.04
206,Ribeira Grande,PT,2022-02-05 03:28:10,38.5167,-28.7,58.93,82,25,12.88
207,Port Augusta,AU,2022-02-05 03:28:10,-32.5,137.7667,90.72,19,7,7.96
208,Aklavik,CA,2022-02-05 03:28:11,68.2191,-135.0107,-19.48,90,6,17.67
209,Yeppoon,AU,2022-02-05 03:28:11,-23.1333,150.7333,85.78,59,56,20.42
210,Dudinka,RU,2022-02-05 03:28:12,69.4058,86.1778,-2.42,96,95,6.04
211,Marzuq,YE,2022-02-05 03:28:13,14.4,46.4667,61.41,28,0,5.17
212,Salekhard,RU,2022-02-05 03:28:13,66.53,66.6019,-4.04,99,94,1.74
213,Petapa,GT,2022-02-05 03:28:13,14.5028,-90.5517,67.35,68,20,18.41
214,Wageningen,NL,2022-02-05 03:28:14,51.9667,5.6667,41.9,89,40,9.22
215,Riyadh,SA,2022-02-05 03:24:46,24.6877,46.7219,60.94,33,28,20.58
216,Crestview,US,2022-02-05 03:28:15,30.7621,-86.5705,40.33,93,100,7.0
217,Canatlan,MX,2022-02-05 03:28:15,24.5167,-104.7833,43.32,57,0,7.94
218,Noshiro,JP,2022-02-05 03:28:16,40.2039,140.0242,27.54,72,100,18.88
219,Yaan,NG,2022-02-05 03:28:16,7.3833,8.5667,76.3,14,0,8.79
220,Qui Nhon,VN,2022-02-05 03:28:17,13.7667,109.2333,74.86,84,82,19.15
221,Nampa,US,2022-02-05 03:28:17,43.5407,-116.5635,33.66,76,100,5.75
222,Pagudpud,PH,2022-02-05 03:28:18,18.5616,120.7868,84.16,81,93,18.99
223,Halayhay,PH,2022-02-05 03:28:18,14.3739,120.8133,87.87,56,39,16.42
224,Bengkulu,ID,2022-02-05 03:28:19,-3.8004,102.2655,76.21,86,100,3.76
225,Dwarka,IN,2022-02-05 03:28:19,22.2394,68.9678,69.91,57,16,8.95
226,Kaeo,NZ,2022-02-05 03:29:19,-35.1,173.7833,75.33,90,57,13.0
227,Cawayan,PH,2022-02-05 03:29:20,9.9718,122.6249,81.86,72,98,15.7
228,Waddan,LY,2022-02-05 03:29:21,29.1614,16.139,48.51,48,0,4.5
229,Smithers,CA,2022-02-05 03:28:05,54.7804,-127.1743,37.72,87,75,2.3
230,Sao Raimundo Das Mangabeiras,BR,2022-02-05 03:29:21,-7.0219,-45.4811,75.13,81,98,3.06
231,Corning,US,2022-02-05 03:29:22,42.1428,-77.0547,15.98,73,100,0.0
232,Tasiilaq,GL,2022-02-05 03:29:22,65.6145,-37.6368,24.96,69,100,42.46
233,North Bend,US,2022-02-05 03:29:23,43.4065,-124.2243,49.06,99,100,3.44
234,Puerto Ayora,EC,2022-02-05 03:29:23,-0.7393,-90.3518,75.54,92,56,5.01
235,Victor Harbor,AU,2022-02-05 03:29:24,-35.5667,138.6167,85.8,51,78,10.89
236,Mulege,MX,2022-02-05 03:29:24,26.8833,-111.9833,56.91,44,0,8.46
237,San Juan,AR,2022-02-05 03:24:30,-31.5375,-68.5364,78.98,29,0,6.6
238,Bandarbeyla,SO,2022-02-05 03:29:25,9.4942,50.8122,71.91,75,0,3.78
239,High Rock,BS,2022-02-05 03:29:25,26.6208,-78.2833,66.22,66,0,9.89
240,Tiksi,RU,2022-02-05 03:29:26,71.6872,128.8694,-22.23,98,69,7.36
241,Tiarei,PF,2022-02-05 03:29:26,-17.5333,-149.3333,84.22,74,24,14.05
242,Mareeba,AU,2022-02-05 03:29:27,-17.0,145.4333,83.66,83,99,3.4
243,Polewali,ID,2022-02-05 03:29:27,-3.4324,119.3435,86.4,64,100,3.15
244,Virginia Beach,US,2022-02-05 03:27:16,36.8529,-75.978,42.12,92,100,3.0
245,Iqaluit,CA,2022-02-05 03:29:28,63.7506,-68.5145,-18.67,57,75,3.44
246,Broome,US,2022-02-05 03:29:28,42.2506,-75.833,16.7,89,100,3.0
247,Pleasanton,US,2022-02-05 03:29:29,37.6624,-121.8747,56.34,67,0,0.0
248,Taywarah,AF,2022-02-05 03:29:29,33.35,64.4167,23.92,49,49,2.33
249,Luanda,AO,2022-02-05 03:29:30,-8.8368,13.2343,75.2,83,75,6.91
250,Carnarvon,AU,2022-02-05 03:29:31,-24.8667,113.6333,105.87,21,10,12.66
251,Hualmay,PE,2022-02-05 03:29:31,-11.0964,-77.6139,69.78,85,39,9.1
252,Tricase,IT,2022-02-05 03:29:32,39.9304,18.3553,49.82,89,90,13.69
253,Santa Ana,US,2022-02-05 03:29:26,33.7456,-117.8678,64.42,22,20,5.99
254,Livingston,GB,2022-02-05 03:29:32,55.9029,-3.5226,39.27,82,75,14.97
255,Lere,NG,2022-02-05 03:29:33,10.387,8.5726,60.57,20,0,7.87
256,Sivaki,RU,2022-02-05 03:29:34,52.6333,126.75,4.41,66,100,8.32
257,Thompson,CA,2022-02-05 03:29:34,55.7435,-97.8558,-21.84,76,0,4.61
258,Coquimbo,CL,2022-02-05 03:29:35,-29.9533,-71.3436,64.13,82,0,2.3
259,Aleksandrovka,UA,2022-02-05 03:29:35,46.8383,32.7612,25.02,69,0,3.36
260,Liverpool,GB,2022-02-05 03:28:33,53.4106,-2.9779,42.76,84,20,1.99
261,Kostino,RU,2022-02-05 03:29:36,58.9097,53.2691,17.11,94,100,8.32
262,Tulun,RU,2022-02-05 03:29:37,54.5611,100.5792,8.92,81,100,5.17
263,Flinders,AU,2022-02-05 03:29:37,-34.5833,150.8552,75.2,67,62,11.01
264,Robertsport,LR,2022-02-05 03:29:38,6.7533,-11.3686,78.33,83,9,2.82
265,Lufilufi,WS,2022-02-05 03:29:38,-13.8745,-171.5986,89.38,77,99,15.1
266,Galesong,ID,2022-02-05 03:29:39,-5.3166,119.3661,86.02,71,99,9.06
267,Ojhar,IN,2022-02-05 03:29:39,20.1,73.9333,61.61,40,95,5.32
268,Bato,PH,2022-02-05 03:29:40,13.3528,123.3677,82.17,68,95,8.77
269,Caraballeda,VE,2022-02-05 03:29:40,10.6112,-66.8522,78.87,83,40,0.0
270,Steamboat Springs,US,2022-02-05 03:25:02,40.485,-106.8317,26.1,64,0,0.0
271,Kruisfontein,ZA,2022-02-05 03:29:41,-34.0033,24.7314,64.89,78,63,4.03
272,Dunedin,NZ,2022-02-05 03:29:41,-45.8742,170.5036,56.41,59,84,5.93
273,Cherskiy,RU,2022-02-05 03:30:42,68.75,161.3,-30.96,96,8,3.94
274,Beringovskiy,RU,2022-02-05 03:30:42,63.05,179.3167,-9.99,88,52,11.43
275,Yatou,CN,2022-02-05 03:30:43,37.15,122.3833,31.21,36,76,16.2
276,Meridian,US,2022-02-05 03:30:43,43.6121,-116.3915,32.79,75,100,1.01
277,Vendome,FR,2022-02-05 03:30:44,47.8,1.0667,34.27,94,20,6.35
278,Samarai,PG,2022-02-05 03:30:44,-10.6167,150.6667,84.96,74,95,9.69
279,Sisimiut,GL,2022-02-05 03:30:45,66.9395,-53.6735,1.33,91,100,17.58
280,Cuenca,EC,2022-02-05 03:30:45,-2.8833,-78.9833,55.53,94,100,4.61
281,Osakarovka,KZ,2022-02-05 03:30:46,50.565,72.5692,7.2,66,13,8.32
282,Nizhniy Odes,RU,2022-02-05 03:30:46,63.6445,54.856,-10.59,100,100,0.54
283,Clyde River,CA,2022-02-05 03:30:47,70.4692,-68.5914,-14.57,70,75,3.44
284,Cabedelo,BR,2022-02-05 03:30:47,-6.9811,-34.8339,79.47,77,7,10.27
285,San Jose Del Guaviare,CO,2022-02-05 03:30:48,2.5729,-72.6459,76.64,76,92,0.4
286,Torbay,CA,2022-02-05 03:30:48,47.6666,-52.7314,30.97,100,100,9.22
287,Puerto Leguizamo,CO,2022-02-05 03:30:49,-0.1934,-74.7819,72.0,98,59,2.06
288,Ekhabi,RU,2022-02-05 03:30:49,53.5102,142.9671,3.56,94,100,21.47
289,Usinsk,RU,2022-02-05 03:26:57,65.9939,57.5281,-4.07,100,98,5.37
290,Mayo,US,2022-02-05 03:30:50,38.8876,-76.5119,36.41,81,100,5.99
291,Ketchikan,US,2022-02-05 03:30:51,55.3422,-131.6461,45.07,76,75,6.91
292,Vuktyl,RU,2022-02-05 03:30:51,63.8567,57.3094,-6.02,100,93,2.26
293,Nanakuli,US,2022-02-05 03:30:52,21.3906,-158.1547,80.55,62,75,9.22
